Epoch,Time,Heading,,
2016/8/3,06:06:35 AM,117.5,,90
2016/8/3,06:06:36 AM,118.94,,90
2016/8/3,06:06:37 AM,117.62,,90
2016/8/3,06:06:38 AM,118.44,,90
2016/8/3,06:06:39 AM,116.69,,90
2016/8/3,06:06:40 AM,117,,90
2016/8/3,06:06:41 AM,119.56,,90
2016/8/3,06:06:42 AM,116.94,,90
2016/8/3,06:06:43 AM,122.25,,90
2016/8/3,06:06:44 AM,119.94,,90
2016/8/3,06:06:45 AM,118.31,,90
2016/8/3,06:06:46 AM,119.56,,90
2016/8/3,06:06:47 AM,116.62,,90
2016/8/3,06:06:48 AM,117.75,,90
2016/8/3,06:06:49 AM,118.87,,90
2016/8/3,06:06:50 AM,120.69,,90
2016/8/3,06:06:51 AM,120.37,,90
2016/8/3,06:06:52 AM,120.56,,90
2016/8/3,06:06:53 AM,122.31,,90
2016/8/3,06:06:55 AM,120.56,,90
2016/8/3,06:06:56 AM,125.5,,90
2016/8/3,06:06:57 AM,122.37,,90
2016/8/3,06:06:58 AM,119,,90
2016/8/3,06:06:59 AM,116.31,,90
2016/8/3,06:07:00 AM,119.06,,90
2016/8/3,06:07:01 AM,121.31,,90
2016/8/3,06:07:02 AM,123.25,,90
2016/8/3,06:07:03 AM,122.25,,90
2016/8/3,06:07:04 AM,123.25,,90
2016/8/3,06:07:05 AM,123.69,,90
2016/8/3,06:07:06 AM,123.62,,90
2016/8/3,06:07:07 AM,113.19,,90
2016/8/3,06:07:08 AM,74.5,,90
2016/8/3,06:07:09 AM,34.13,,90
2016/8/3,06:07:10 AM,351.5,,90
2016/8/3,06:07:11 AM,318.19,,90
2016/8/3,06:07:12 AM,270.81,,90
2016/8/3,06:07:13 AM,212.5,,90
2016/8/3,06:07:14 AM,155.56,,90
2016/8/3,06:07:15 AM,111.5,,90
2016/8/3,06:07:16 AM,118.06,,90
2016/8/3,06:07:17 AM,118.25,,90
2016/8/3,06:07:18 AM,118.25,,90
